Rank,Name,Country,Region,Affiliation,Age,Height,Weight
245,Alessandro Zanet,United States,North America West,K2 CrossFit,28,71 in,195 lb
245,Bailey DiMenna,United States,North America East,CrossFit Big House,28,70 in,187 lb
247,Reilly Good,United States,North America East,Rocket City CrossFit,30,68 in,215 lb
247,Tadhg Lawless,Ireland,Europe,CrossFit Dublin,22,72 in,91 kg
249,Andrew Sambell,Australia,Oceania,Steel Coast CrossFit,27,,
250,Xavi Marco,Spain,Europe,CrossFit 77 Feet,27,,
251,Cal Bauer,United States,North America East,CrossFit Petoskey,30,,
252,Theo Kempffer,United States,North America East,CrossFit Melior,20,180 cm,200 lb
253,Arturo Torres,United States,North America West,CrossFit Kemah,32,,
254,Ricardo Diaz,Spain,Europe,CrossFit Mjolnir,32,,
255,Christopher Shimley,United States,North America East,Top Fuel CrossFit Valparaiso,31,68 in,193 lb
256,Roman Berkhan,United States,North America East,CrossFit Faded Glory,26,72 in,200 lb
257,Michael van Tonder,South Africa,Africa,Cape CrossFit,29,184 cm,100 kg
258,Mason Griffin,United States,North America East,CrossFit Winnersville,21,71 in,185 lb
259,Josh Workman,United States,North America East,CrossFit Norwalk,25,67 in,175 lb
260,Darcy Hancock,Australia,Oceania,CrossFit CQ,21,173 cm,92 kg
261,Vinicius Stoelben,Brazil,South America,,31,186 cm,94 kg
262,Stephen Jones,United States,North America West,Koda CrossFit,26,70 in,196 lb
263,Marco Schwendimann,Switzerland,Europe,CrossFit Gleis 10,24,173 cm,85 kg
264,Steven Taillefer,France,Europe,CrossFit Caen,25,176 cm,85 kg
265,Ryan Haynes,United States,North America East,CrossFit Rutherford,22,71 in,195 lb
266,Zach Watts,United States,North America East,CrossFit Illuminate,27,72 in,205 lb
267,Callum Deeble,South Africa,Africa,Cape CrossFit,25,175 cm,80 kg
268,Fernando Llaneza Pardillos,Spain,Europe,CrossFit Gualas,26,177 cm,76 kg
269,Stefano Migliorini,Italy,Europe,CrossFit Officine,34,173 cm,84 kg
270,Isaac Farias,Mexico,North America West,,31,166 cm,175 lb
271,Stefano Zucchiatti,Italy,Europe,Factory CrossFit,20,183 cm,87 kg
272,Riley Martin,New Zealand,Oceania,CrossFit Newstead,21,178 cm,86 kg
273,Isaiah Vidal,Mexico,North America West,CrossFit Condesa,30,68 in,195 lb
274,James Thomas,Australia,Oceania,CrossFit Newstead,28,183 cm,90 kg
275,Austin Morgan,United States,North America East,Iron Tide CrossFit,24,68 in,175 lb
276,Rob Watt,New Zealand,Oceania,CrossFit Melbourne,32,188 cm,198 lb
277,Miko Lilleorg,Estonia,Europe,Tallinn CrossFit,25,180 cm,103 kg
277,Anthony Darkangelo,United States,North America East,,28,71 in,205 lb
279,Geronimo Beaudean,Argentina,South America,WTC CrossFit,22,,
280,Lukas Ozaki,Peru,South America,,26,170 cm,80 kg
281,Brayan Stiven fajardo,Colombia,South America,Bull Box Mde CrossFit,22,,
282,Jerrett Ban,United States,North America East,CrossFit Combustion,32,,
283,Hiko O Te Rangi Curtis,New Zealand,Oceania,,19,174 cm,84 kg
284,Emil von Gerber,Sweden,Europe,F4L CrossFit SoFo,30,174 cm,90 kg
285,Michele La Robina,Italy,Europe,CrossFit Capo Di Sopra,30,,
286,Sebastian Jalas,United States,North America East,Bark River CrossFit,26,71 in,200 lb
287,Ilyas Kuliev,Asia,Age 27,182 cm | 98 kg,27,182 cm,98 kg
288,Zeke Grove,Australia,Oceania,CrossFit Carv,31,169 cm,182 lb
288,Charles Kackert,United States,North America West,CrossFit Dallas Central,36,68 in,198 lb
290,Christopher Knizewski,United States,North America East,TTT CrossFit,31,68 in,185 lb
291,Hudson Fricke,United States,North America East,Southern Moon CrossFit,34,73 in,205 lb
292,Justin Dewing,United States,North America West,Cowtown CrossFit,31,71 in,205 lb
293,Lucas Almeida,Brazil,South America,CrossFit Aldeota,31,170 cm,77 kg
294,Harrison Calverley,New Zealand,Oceania,,26,170 cm,82 kg
294,Mitchell Case,Australia,Oceania,CrossFit Uplift,26,179 cm,92 kg
296,Tomas Sarmiento,Argentina,South America,,21,170 cm,85 kg
297,Seokbeom Kim,"Korea, Republic of",Asia,CrossFit Limelight,30,174 cm,84 kg
298,Jakub Cieślik,Poland,Europe,,28,,
299,Pablo Cazalis,Spain,Europe,CrossFit Zarautz,31,181 cm,95 kg
300,Taylor Sturgis,United States,North America West,CrossFit Lafayette,27,71 in,190 lb
301,Matt Gilpin,Australia,Oceania,CrossFit SPEED,27,178 cm,91 kg
302,Miguel Fontes,Portugal,Europe,CrossFit Leiria Sul,23,173 cm,82 kg
303,Jack Turner,United Kingdom,Europe,West Leeds CrossFit,26,,
304,Lago Guiraldes,Argentina,South America,CrossFit Tuluka,25,186 cm,90 kg
305,Sammy Wright,United Kingdom,Europe,CrossFit Utopia,30,182 cm,89 kg
306,Bastian Pfannschmidt,Chile,South America,CrossFit Gorilla,33,,
307,Michael McDonald,United States,North America East,CrossFit Crash,32,72 in,195 lb
308,Felix Rehder,Germany,Europe,CrossFit Oslo,26,180 cm,87 kg
309,Parker Foster,United States,North America West,Koda CrossFit,25,68 in,170 lb
310,Austin Spencer,United States,North America East,CrossFit MF,30,70 in,205 lb
311,Luke McMahon,Australia,Oceania,,28,175 cm,175 kg
312,Jakob Geholm,Sweden,Europe,Garaget CrossFit,28,176 cm,83 kg
313,Alessandro Anania,Italy,Europe,Prenestina CrossFit,30,180 cm,85 kg
314,Hector Mateus,Colombia,South America,Peak 360 CrossFit,26,71 in,190 lb
315,Thainã Toma,Brazil,South America,,33,166 cm,73 kg
316,Bailey O'Brien,Australia,Oceania,,25,178 cm,85 kg
317,Joseph Flynn,United States,North America East,Tarheel CrossFit,26,68 in,180 lb
318,Toby Buckland,United Kingdom,Europe,Blueprint CrossFit,24,181 cm,94 kg
319,Caleb Huff,United States,North America East,Five Lakes CrossFit,30,66 in,185 lb
320,Andrew Winsor,Canada,North America East,CrossFit Cobourg,30,67 in,175 lb
320,Mevlüt Agir,Turkey,Asia,CrossFit Boran,29,170 cm,80 kg
322,Harley Pescosolido,United States,North America West,Driven to Conquer CrossFit,28,70 in,182 lb
323,Thomas Wilson,United Kingdom,Europe,CrossFit Castaway,32,72 in,210 lb
324,Jace Peck,United States,North America East,CrossFit 1936,19,,
325,Rui Figueiredo,Portugal,Europe,CrossFit Improve Yourself Santo Tirso,23,175 cm,81 kg
326,Mateusz Latusek,Poland,Europe,,28,180 cm,92 kg
327,Riley Tormey,United States,North America East,,23,70 in,190 lb
327,Manuel Caro,Spain,Europe,,25,,
329,Chen Sheng,China,Asia,CrossFit MET,26,170 cm,75 kg
330,Anatolii Borisenko,Asia,Age 36,186 cm | 99 kg,36,186 cm,99 kg
331,Pedro Laranjeira,Portugal,Europe,North Call CrossFit,27,,
332,Clay Faris,United States,North America West,Einhorn CrossFit,26,69 in,195 lb
333,Marcus Alves,Brazil,South America,BRV CrossFit,29,170 cm,82 kg
334,Caleb Freeman,United States,North America East,CrossFit Asheboro,30,70 in,195 lb
335,Anthonee Yim,United States,North America West,,28,,
336,Ibai Sanchez,Spain,Europe,CrossFit Elche Triboo,28,170 cm,80 kg
337,Piero Gorichon,Chile,South America,Sense Fitness CrossFit,31,183 cm,90 kg
338,William Farquharson,United States,North America East,Spindle City CrossFit,25,70 in,179 lb
339,Liam Ford,Australia,Oceania,CrossFit Geo,25,183 cm,94 kg
340,Francis Pelletier,Canada,North America East,CrossFit ADM,23,69 in,215 lb
341,Bruno Neves,Brazil,South America,CrossFit Cidade Jardim,24,183 cm,95 kg
342,Barbier Benjamin,France,Europe,Zone K CrossFit,30,,
343,Lucas Obrien,Australia,Oceania,CrossFit Underway,25,165 cm,69 kg
344,Omar Martinez,Venezuela,South America,CrossFit Queretaro,31,167 cm,76 kg
344,Michael Palomba,United States,North America East,CrossFit Exceed,28,69 in,215 lb
346,Gary Jones,United States,North America East,Flower City CrossFit,34,72 in,193 lb
346,Mitchell Adams,United Kingdom,Europe,,31,167 cm,85 kg
348,Greg Gross,Canada,North America West,,31,71 in,205 lb
349,Gilmar Gavica,Belgium,Europe,CrossFit 6.5.8,31,,
350,Trygve Nilsen,Norway,Europe,CrossFit Oslo,29,178 cm,85 kg
350,Jake Standen,Australia,Oceania,CrossFit CQ,25,184 cm,93 kg
352,Đorđe Đurić,Bosnia and Herzegovina,Europe,,28,187 cm,94 kg
353,Jeremy Vigneault,Canada,North America East,,26,185 cm,218 lb
354,Daniel Griesel,South Africa,Africa,,27,,
