Rank,Name,Country,Region,Affiliation,Age,Height,Weight
7165,Sean Commons,United States,North America West,CrossFit Aledo,32,72 in,180 lb
7166,Aaron Hemetsberger,Australia,Oceania,CrossFit Coast 2 Coast,18,178 cm,73 kg
7167,Sam Hayes,United Kingdom,Europe,CrossFit Talisman,30,179 cm,83 kg
7168,Kory Lindsey,United States,North America East,Silver Comet CrossFit,27,69 in,180 lb
7169,Evan Bagwell,United States,North America East,CrossFit Adrenaline,27,,
7170,Daniel Jones,United Kingdom,Europe,Better Than Yesterday CrossFit,32,175 cm,75 kg
7171,Patrick Allen,Australia,Oceania,Picton CrossFit,27,,
7172,Philip Roskell,United Kingdom,Europe,Forest Flow CrossFit,29,,
7173,Conor Mulholland,United Kingdom,Europe,CrossFit Hawk Eye,27,70 in,80 kg
7174,Alvin Andersson,Sweden,Europe,CrossFit Maiden,18,,
7175,Changgun Lee,"Korea, Republic of",Asia,CrossFit ULHF,31,67 in,167 lb
7176,Daniel Humphreys,United Kingdom,Europe,CrossFit IOM,25,,
7177,Richard Bloomer,United States,North America East,CrossFit UNTD,30,77 in,210 lb
7178,Mohsen Abutalebi,Iran,Asia,,27,176 cm,92 kg
7179,Marc Mappin,United Kingdom,Europe,CrossFit 17,25,,
7180,Shane Biggar,United States,North America East,BrewCity CrossFit,33,69 in,175 lb
7181,Direlle Stauffer,United States,North America West,CrossFit IronDen,31,65 in,170 lb
7182,Justin Matthias Frischmuth,Germany,Europe,CrossFit Munich,32,180 cm,90 kg
7183,Jared Beyer,United States,North America East,MoCo CrossFit,34,,
7184,Dylan Ehlke,United States,North America East,Tarheel CrossFit,29,,
7185,Jt Healy,United States,North America West,CrossFit Magna,31,72 in,206 lb
7186,Declan Murphy,Ireland,Europe,CrossFit Vauxhall,29,,
7187,Ryan Williams,Australia,Oceania,,34,,
7188,Carl Christensen,Denmark,Europe,CrossFit Aros,22,188 cm,88 kg
7189,Hongseok Jo,"Korea, Republic of",Asia,CrossFit SNG,30,,
7190,Devin Hawbaker,United States,North America West,Glen Rose CrossFit,32,68 in,200 lb
7191,Davide Avagnina,Italy,Europe,CNT CrossFit,25,175 cm,79 kg
7192,Matt Greenfield,United States,North America East,Kinetic Grit CrossFit,33,70 in,200 lb
7193,Miguel Buzza Roo,Brazil,South America,CrossFit SP,18,,
7193,Joshua Julian,United States,North America East,CrossFit SPRC,38,67 in,183 lb
7195,Ryan Murphy,United States,North America East,CrossFit 103,40,70 in,180 lb
7196,Benjamin Dansereau-Leclerc,Canada,North America East,L'Usine CrossFit Longueuil,31,167 cm,180 lb
7197,Luther Marais,Botswana,Africa,CrossFit PBM,31,177 cm,83 kg
7198,Andre Marrero,United States,North America East,CrossFit Wingman,25,,
7199,Jun Oh Seo,"Korea, Republic of",Asia,Rush Together CrossFit,27,68 in,160 lb
7200,Tyler Hensley,United States,North America West,,29,69 in,165 lb
7201,Gerry Rapelo,United States,North America West,CrossFit 1904,33,68 in,168 lb
7202,Jack Gifford,New Zealand,Oceania,X-Force CrossFit,26,176 cm,85 kg
7203,Kyeong Hun Yeon,"Korea, Republic of",Asia,CrossFit Build Up,28,178 cm,85 kg
7204,Brooks Eibner,United States,North America East,Perry Hall CrossFit,27,67 in,170 lb
7204,Remy Ettema,Netherlands,Europe,CrossFit Westenwind,25,177 cm,80 kg
7206,Luca Bressoud,Switzerland,Europe,CrossFit Silver Lion,27,180 cm,80 kg
7207,Anthony Kimmerle,United States,North America West,,22,,
7208,Michael King,Ireland,Europe,,37,,
7209,Brian Lincoln,United States,North America West,Jump Ship CrossFit,34,69 in,190 lb
7210,Nathan Bland,United Kingdom,Europe,CrossFit Sunderland,21,,
7211,Josh Thackray,Canada,North America East,CrossFit Radix,28,,
7212,Liam Kiger,United States,North America West,Hub City CrossFit,23,,
7213,Josh Sherling,United States,North America East,,32,,
7214,Tim Kennedy,United States,North America East,CrossFit Sacrifice,28,70 in,182 lb
7215,Gabriel Bellec,France,Europe,CrossFit 168,24,175 cm,83 kg
7216,Lucas Moruzzi,France,Europe,M34 CrossFit South,26,195 cm,90 kg
7217,Nick Stavlund,United States,North America West,Jump Ship CrossFit,39,69 in,175 lb
7218,Alessio Casaldi,Italy,Europe,CrossFit 4112,32,176 cm,82 kg
7219,Valentin Mercadieu,France,Europe,CrossFit Frankton,31,173 cm,73 kg
7220,Zach Sale,United States,North America East,CrossFit Bearden,29,71 in,190 lb
7221,John Edden,United Kingdom,Europe,,24,175 cm,90 kg
7222,Andres Zalamea,United States,North America West,La Puente CrossFit,29,,
7222,Takumi Miki,Japan,Asia,CrossFit Hizen,29,,
7224,Dave Cali,Australia,Oceania,CrossFit New Beginning,34,175 cm,170 lb
7225,Jason Arnt,United States,North America East,CrossFit City Line,41,69 in,200 lb
7226,Fred Hernandez,United States,North America West,,34,67 in,169 lb
7227,Matthew Pearson,United States,North America West,CrossFit Loco Ocho,49,75 in,203 lb
7228,Adam Yaklich-Lopez,United States,North America West,CrossFit Arvada,32,71 in,195 lb
7229,orlando Soto Valenzuela,Chile,South America,,28,,
7230,Tristan Apolinar,United States,North America West,CrossFit Hays,24,65 in,150 lb
7231,Alec Bruneau,France,Europe,CrossFit HFS,22,172 cm,70 kg
7232,William Kelly,United Kingdom,Europe,,31,,
7233,Jandre Kruger,South Africa,Africa,CrossFit PBM,22,,
7234,Mohamad Kazal,Australia,Oceania,CrossFit Never Quit,23,184 cm,84 kg
7235,Casey Barbour,United States,North America East,United Fitness CrossFit,29,6 in,215 lb
7236,Andrew Young,United States,North America West,CrossFit WatchTower,25,67 in,170 lb
7237,Tomo Evans,United Kingdom,Europe,CrossFit Solent,32,178 cm,82 kg
7238,Eric Hoisington,United States,North America West,CrossFit Albuquerque,30,75 in,220 lb
7238,Chad Wise,United States,North America East,Seven Springs CrossFit,31,,
7240,Justin Iadarola,United States,North America East,,30,,
7241,SeungBin Kim,"Korea, Republic of",Asia,CrossFit Noeun Elite Gym,23,186 cm,85 kg
7242,Anthony Kane,Ireland,Europe,CrossFit Santry,34,173 cm,82 kg
7243,Connor Lord,United Kingdom,Europe,CrossFit Jorvik,25,175 cm,84 kg
7244,Leo Greeley,United States,North America East,CrossFit East Nashville,31,68 in,180 lb
7245,Tore Normann,Norway,Europe,CrossFit Centrum,31,174 cm,75 kg
7246,Mathias Backholm,Sweden,Europe,CrossFit Nykvarn,32,185 cm,93 kg
7246,Jordan May,United States,North America East,CrossFit Hendersonville,33,,
7248,Theo Glinos,United Kingdom,Europe,CrossFit Hereford,23,67 in,70 kg
7249,Miguel Van Den Bogaerde,Belgium,Europe,CrossFit Kortrijk,27,176 cm,78 kg
7250,Tobias Meier,Switzerland,Europe,CrossFit Bern,34,182 cm,90 kg
7251,Ben Houghton,United Kingdom,Europe,CrossFit Fly High,28,,
7252,Joshua Flowers,United States,North America West,CrossFit Complete,25,70 in,170 lb
7253,Travis Soto,United States,North America West,CrossFit 806,35,,
7254,Adam Boero,United States,North America East,,33,,
7255,Ryan Kendall,United States,North America West,Flaming Gorge CrossFit,39,72 in,195 lb
7256,Benjamin Daniaud,France,Europe,,34,173 cm,84 kg
7257,Heath Walling,United States,North America East,CrossFit RailBirds,30,5 in,165 lb
7258,Dirk Bongers,Netherlands,Europe,CrossFit Uden,34,,
7259,Matthew Vella,United States,North America East,CrossFit The Rock,38,71 in,195 lb
7260,Donovan Evans,United States,North America East,Stillhouse CrossFit,26,,
7261,James Gardner,United States,North America West,CrossFit Apollo,36,70 in,172 lb
7262,Glenn Søndergård,Denmark,Europe,CrossFit Onshore,30,186 cm,89 kg
7263,Chaoping Ren,China,Asia,CrossFit Moo,33,,
7264,Joris Sonnema,Netherlands,Europe,CrossFit Westenwind,34,180 cm,83 kg
7264,David Earle,United States,North America East,CrossFit Liberate,29,67 in,160 lb
7266,Hupin Florent,France,Europe,CrossFit Dery Street,21,180 cm,80 kg
7267,Andrey Espinoza Segura,Costa Rica,North America East,Damanto CrossFit,28,173 cm,77 kg
7268,Daniel Grindley,United Kingdom,Europe,Saadiyat CrossFit,36,,
7269,Hunter Swift,United States,North America West,CrossFit Rescue,21,72 in,195 lb
7270,Kelvin Ip,Hong Kong,Asia,CrossFit Braybrook,30,,
7271,Travis Lemmon,United States,North America West,Lone Tree CrossFit,33,68 in,165 lb
7272,Jorge Rendon Salinas,Mexico,North America West,,31,71 in,195 lb
7273,Tyler Garibay,United States,North America West,CrossFit San Clemente,30,71 in,185 lb
7274,Anthony Flores,United States,North America West,Gnardog CrossFit,23,67 in,180 lb
7275,Tyler Watkins,United States,North America East,CrossFit Trivium,30,74 in,235 lb
7276,Arsid Panxhi,United States,North America West,CrossFit 190,36,72 in,194 lb
7276,Duane Johnson,United Kingdom,Europe,CrossFit Urban Energy,39,172 cm,80 kg
7278,Joe Fogarty,United States,North America West,Copper City CrossFit,29,,
7279,Travis Anderson,United States,North America East,CrossFit Cocoa Beach,37,70 in,175 lb
7280,Nuno de Abreu,South Africa,Africa,CrossFit 4E,33,172 cm,80 kg
7281,Nick Folkedahl,United States,North America West,CrossFit Mafia,34,72 in,195 lb
7282,Daniel Gherbi,Italy,Europe,CrossFit Rümlang,29,173 cm,82 kg
7283,John Rae,United States,North America West,Sanctum CrossFit,32,69 in,196 lb
7284,Vahid PourHasan,Iran,Asia,,30,183 cm,95 kg
7285,Matthew Golding,Australia,Oceania,CrossFit Drummoyne,26,177 cm,89 kg
7286,Chen Huaqiang,China,Asia,CrossFit Moo,28,,
7286,Jeffrey Northrup,United States,North America East,CrossFit 630,42,70 in,186 lb
7288,Sam Eastwell,United Kingdom,Europe,CrossFit Adira,31,179 cm,80 kg
7289,Allard de Heer,Netherlands,Europe,ISA CrossFit,25,,
7290,Tucker Kistner,United States,North America East,CrossFit Showdown,25,68 in,160 lb
7291,Arnaud Mendez,France,Europe,CrossFit Massilia 2,34,168 cm,64 kg
7292,Thibaut Monadier,France,Europe,CrossFit Muret,25,176 cm,79 kg
7293,Riccardo Trabace,Italy,Europe,CrossFit London UK,30,,
7294,Aitor Prada Pimentel,Spain,Europe,CrossFit Coraje,33,174 cm,74 kg
7295,Anthony Pearce,Australia,Oceania,CrossFit Shellharbour City,29,180 cm,78 kg
7296,Jesus Herrera Fernandez,Spain,Europe,,29,,
7297,Tim Vanek,United States,North America East,CrossFit SolaFide,33,,
7298,Andrew Boyd,Ireland,Europe,CrossFit Northern Ireland,38,70 in,88 kg
7299,Jesse Hartle,United States,North America East,CrossFit A.I.M.,33,69 in,180 lb
7300,Mark Heath,Australia,Oceania,,36,173 cm,70 kg
7301,Jacob Marsh,United States,North America West,CrossFit Aledo,31,69 in,190 lb
7302,Marco Iemmola,United States,North America East,CrossFit CE,34,72 in,205 lb
7303,David Julien,France,Europe,CrossFit Lausanne,29,,
7304,Tyler Rossmann,United States,North America West,CrossFit Eagan,29,69 in,170 lb
7305,Colby Stevens,United States,North America West,CrossFit Sweat Shop,32,67 in,185 lb
7305,Tristan Wentworth,South Africa,Africa,CrossFit Dux,32,185 cm,85 kg
7307,Tyler Young,United States,North America East,CrossFit Fenton,31,72 in,187 lb
7308,Peter Wilson,United Kingdom,Europe,CrossFit Creative,31,,
7309,Walker Hardin,United States,North America West,CrossFit JXN,23,67 in,148 lb
7309,David Fauske,Norway,Europe,CrossFit Lambertseter,28,175 cm,82 kg
7311,Eamon Schwartz,United States,North America East,DBG CrossFit,32,71 in,169 lb
7312,Kyle Tullos,United States,North America West,CrossFit Minnetonka,25,,
7313,Juanjo Ibañez Robles,Spain,Europe,,31,,
7314,Gabriel Marcotte,Canada,North America East,Concept Ekilibre CrossFit,20,69 in,160 lb
7315,Ayrton Risby,Australia,Oceania,CrossFit EXF,17,,
7316,David Uychiat,Philippines,Asia,,31,67 in,165 lb
7317,Martin Neira,Belgium,Europe,Diablo CrossFit,28,74 in,185 lb
7318,Greg Allan,United States,North America West,CrossFit Central,29,,
7319,David Tatum,United States,North America West,Redemption Road CrossFit Sanctvm,26,,
7320,Stephen Denbraver,United States,North America West,CrossFit San Marcos,33,,
7321,James Toole,Australia,Oceania,CrossFit Carv,32,182 cm,88 kg
7322,Nick Jones,New Zealand,Oceania,CrossFit D-Day,26,180 cm,80 kg
7323,Rasem Khulusi,Syrian Arab Republic,Asia,CrossFit Örebro AB,30,177 cm,78 kg
7324,John Champney,United States,North America West,CrossFit HomeBase Central,46,66 in,148 lb
7325,Kevin Gumilar,Indonesia,Asia,CrossFit Wanderlust,23,,
7326,Christopher Wexelstein,United Kingdom,Europe,Coast Side CrossFit,21,186 cm,81 kg
7327,Mattia Tramontano,Italy,Europe,CrossFit Testudo,22,,
7328,Olivier Sergerie,Canada,North America East,,33,178 cm,170 lb
7329,Keaton Reece,United States,North America West,Reach 4 it CrossFit,26,75 in,200 lb
7330,Hyungkon Kim,"Korea, Republic of",Asia,CrossFit Yain,30,170 cm,185 lb
7331,Ben Halcomb,United States,North America East,CrossFit 865,20,69 in,185 lb
7332,Young Geun Lee,"Korea, Republic of",Asia,CrossFit Wangsimni,32,163 cm,63 kg
7333,Kimoon An,"Korea, Republic of",Asia,CrossFit Hwajeong,37,7 in,1 lb
7334,Scott Moore,United Kingdom,Europe,CrossFit WDN,37,69 in,89 kg
7335,Daniel Kidd,United States,North America East,Solidarity CrossFit,24,66 in,160 lb
7336,John Joseph Fondacaro III,United States,North America East,CrossFit 386,34,68 in,185 lb
7337,Vincent Aubray,France,Europe,Rupella CrossFit,29,175 cm,83 kg
7337,Calvin Pham,United States,North America West,CrossFit LumberYard,32,68 in,180 lb
7339,Casey Sturgill,United States,North America East,CrossFit Mudtown,38,67 in,147 lb
7340,Luke Nater,Canada,North America East,CrossFit Waterloo,31,69 in,180 lb
7341,Jesse de Castro,United States,North America East,Capital City CrossFit,27,65 in,140 lb
7342,Hein Els,South Africa,Africa,CrossFit Artaxes,34,173 cm,86 kg
7343,Thibault Gendron,France,Europe,NKCC CrossFit Suresnes,30,179 cm,80 kg
7344,Floyd Brinton,United States,North America East,CrossFit DC,32,68 in,199 lb
7345,Clayton Ramshaw,United Kingdom,Europe,CrossFit Barnsley,30,170 cm,75 kg
7346,Victor Sanchez,Spain,Europe,Tiburon CrossFit,27,180 cm,86 kg
7347,Dominic Warby,United Kingdom,Europe,CrossFit Jacana,25,188 cm,105 kg
7348,Kevin McGrath,United States,North America East,,33,69 in,185 lb
7349,Michael Brennan,United States,North America East,Empire State CrossFit,31,73 in,185 lb
7349,Dominic Mell,United States,North America East,Black and Gold CrossFit,22,73 in,230 lb
7349,Kevin Sanchez,Spain,Europe,CrossFit Mollet del Valles,26,,
7352,Ethan Pope,United Kingdom,Europe,CrossFit Adira,24,188 cm,100 kg
7352,Youngseo An,"Korea, Republic of",Asia,CrossFit Hoean,27,,
7354,Mark Green,South Africa,Africa,,34,186 cm,93 kg
7355,Tim Rubright,United States,North America East,CrossFit Adrenaline,34,68 in,205 lb
7356,Qingsong Que,China,Asia,CrossFit N Plus,26,,
7357,yim jongchan,"Korea, Republic of",Asia,CrossFit Time Of Soul,30,,
7358,Michael Benko,United States,North America East,CrossFit Reignited ILM,33,,
7359,Greyson Vastine,United States,North America East,Full Circle CrossFit,29,75 in,205 lb
7360,Guy Noa,United States,North America East,CrossFit MLL,38,69 in,170 lb
7361,Yanick Coello Cruz,Mexico,North America West,,31,181 cm,172 lb
7362,Max Klawuhn,United States,North America West,NKC CrossFit,34,,
7363,Brett Korn,United States,North America East,CrossFit Explode,25,,
7364,Jack Shaylor,United Kingdom,Europe,CrossFit Reading,39,178 cm,93 kg
7365,Logan Koehler,United States,North America West,CrossFit A.P.E. (Ape),36,70 in,185 lb
7366,Jesse Dammann,United States,North America West,CrossFit Blue House,24,,
7367,Dan Beshoar,United States,North America East,CrossFit Due North,33,70 in,195 lb
7368,Jacob Frigard,United States,North America West,CrossFit SOMA,27,,
7369,James Johnson,United States,North America East,CrossFit 608,32,,
7370,Ashton Serrato,United States,North America West,CrossFit URU,20,69 in,175 lb
7371,Niclas Tonsberg Holm Hansen,Denmark,Europe,CrossFit Koege,34,177 cm,90 kg
7372,Blayne Taylor,United States,North America West,,29,,
7373,Brandon Nunez,United States,North America East,,26,,
7374,Juan Jose Peña Lerma,Mexico,North America West,,29,171 cm,73 kg
7375,Joe Elkin,United Kingdom,Europe,CrossFit Blackwater,31,180 cm,88 kg
7375,Ryan Conley,United States,North America West,East Valley CrossFit,33,67 in,165 lb
7377,Ricardo Gerrets,Netherlands,Europe,CrossFit Capelle Aan Den Ijssel,34,176 cm,73 kg
7378,Michael Lowe,United States,North America East,CrossFit Iron Shamrock,22,73 in,195 lb
7379,Simone Poggianti,Italy,Europe,Encore CrossFit,34,177 cm,82 kg
7380,Mitchell McDowell,United States,North America West,CrossFit Westwood,27,,
7381,Samuel Beever,United States,North America East,CrossFit Distinction,34,70 in,175 lb
7382,Quinn Hedberg,United States,North America East,12th State CrossFit,31,71 in,200 lb
7383,Nolan Cypher,United States,North America East,Wayfarer CrossFit,31,,
7384,Davide D'Amico,Italy,Europe,CrossFit Petite Box,32,184 cm,85 kg
7385,Michael Prangner,United States,North America West,,35,71 in,185 lb
7386,Nicholas Irizarry,United States,North America East,Peak 360 CrossFit,26,,
7386,Lucas Silva,Brazil,South America,,29,178 cm,90 kg
7388,Daniel Drozdzewicz,United States,North America East,Top Fuel CrossFit Valparaiso,27,69 in,197 lb
7389,Makoto Terashita,Japan,Asia,CrossFit CHOUJIN1 Yoyogi,37,170 cm,72 kg
7390,Jose Gomez,Spain,Europe,Charrúa CrossFit Zona Norte,34,,
7391,Collin Kruse,United States,North America West,CrossFit 2.2,27,,
7392,Jeremy Voelkel,United States,North America West,Warrior Park CrossFit,21,,
7393,Trey Esponge,United States,North America West,,28,70 in,180 lb
7394,Boriss Ozolins,Latvia,Europe,CrossFit Tordenskjold,29,185 cm,89 kg
7395,Tyler Hoag,United States,North America East,CrossFit Envision,32,69 in,175 lb
7396,Kyle Petrina,United States,North America East,CrossFit Faded Glory,30,,
7397,Arnaud Van Balberghe,Belgium,Europe,CrossFit Tembo,32,,
7398,Lukas Nasdal,Germany,Europe,Hauptstadt CrossFit,25,183 cm,82 kg
7399,Mark Caprarese,United States,North America East,Lake Swell CrossFit,33,71 in,180 lb
7400,Franklin Steck,United States,North America East,CrossFit Lansdale,27,69 in,185 lb
7401,Alex Game,United Kingdom,Europe,,31,,
7402,Michael McMahon,United States,North America East,Drop Box CrossFit,33,73 in,200 lb
7403,Walter Oosthuizen,South Africa,Africa,CrossFit BTY,28,184 cm,100 kg
7404,Tom Kippenberger,New Zealand,Oceania,CrossFit 168,34,172 cm,77 kg
7405,zeph martin,Canada,North America East,,19,66 in,160 lb
7406,Sylvain Belascain,France,Europe,CrossFit Mont-de-Marsan,28,175 cm,82 kg
7407,Max Voelkel,United States,North America West,CrossFit Outpace,20,71 in,195 lb
7408,Alexander Perris,United States,North America East,CrossFit Hype,40,70 in,201 lb
7409,Jacob Chaîné,Canada,North America East,Concept Ekilibre CrossFit,27,,
7410,Damien Sapally,France,Europe,Ponts-Jumeaux CrossFit,29,169 cm,70 kg
7411,Josh Daniel,United States,North America East,,31,,
7412,Todd Lewis,Australia,Oceania,CrossFit Desire Central,28,177 cm,80 kg
7413,Pierrick Auray,France,Europe,CrossFit de la Paix,30,175 cm,80 kg
7414,David Hewitt,United States,North America West,CrossFit Omnia,30,,
7415,Se Jun Park,"Korea, Republic of",Asia,CrossFit Gangnam,32,68 in,165 lb
7416,Walter Pretorius,South Africa,Africa,CrossFit Leo,39,,
7417,Jacques Badenhorst,South Africa,Africa,CrossFit RAG,35,175 cm,84 kg
7418,Nicolas Lehmann,France,Europe,CrossFit Feigères,29,180 cm,93 kg
7419,Engin Bayram,Belgium,Europe,CrossFit Commic,33,186 cm,97 kg
7420,Andrew Patterson,United States,North America West,CrossFit Kingfield,33,70 in,190 lb
7421,Gunnar Wilson,United States,North America East,Carolina CrossFit,22,73 in,205 lb
7422,Yoo Kangmin,"Korea, Republic of",Asia,CrossFit A4U,27,,
7423,Jinwoo Suh,"Korea, Republic of",Asia,CrossFit Sanbon,30,,
7424,Jon Du,United States,North America West,CrossFit Immense,34,67 in,145 lb
7425,Cole Barbee,United States,North America West,CrossFit Beo,30,67 in,190 lb
7426,Bereziat Alexandre,France,Europe,,29,,
7427,Theo Moriot,France,Europe,CrossFit Hestia,30,175 cm,70 kg
7428,Edwin Urrieta,United States,North America West,CrossFit Crown City,35,70 in,170 lb
7429,Ricardo Gomez,United States,North America East,CrossFit Soul Miami,21,,
7430,Ivan Alarcon,Mexico,North America West,CrossFit ATI,32,66 in,170 lb
7431,Brandon Watts,United States,North America West,Northstate CrossFit,35,66 in,155 lb
7432,Devin Rivers,United States,North America East,CrossFit Elect,30,,
7433,Clement Riallin,France,Europe,Anjou CrossFit,27,175 cm,81 kg
7434,Cody Sasek,United States,North America West,CrossFit Hydro,39,67 in,185 lb
7435,Nafyn Pattiaratchi,Australia,Oceania,Grandstand CrossFit,35,174 cm,83 kg
7436,Mike Griffiths,United States,North America East,CrossFit Kryptonite,28,72 in,195 lb
7437,Fabien Paviot,France,Europe,CrossFit Méréhos,25,174 cm,65 kg
7438,John Theriot,United States,North America East,CrossFit Dog Fight,27,71 in,200 lb
7438,Vincent Eichner,Germany,Europe,CrossFit Munich,34,,
7440,Coste Thibaud,France,Europe,CrossFit Le Thor,32,185 cm,91 kg
7441,Ryan Yeggy,United States,North America West,CrossFit Castle Rock,31,,
7442,Ashkan Ahangar,Iran,Asia,,24,170 cm,70 kg
7443,Alan York,United States,North America West,Glacial Lakes CrossFit,47,,
7444,Jordan Bitan,Canada,North America East,CrossFit Wonderland,26,72 in,189 lb
7445,Christian Grande,Italy,Europe,CrossFit Venezia,30,,
7446,Christos Moutousis,United States,North America East,CrossFit Unleashed,36,,
7447,Sylvain Commune,France,Europe,CrossFit Te Rapa,30,180 cm,73 kg
7448,Gabriel Bosques,Spain,Europe,CrossFit Scipion,23,,
7449,Yong-Hyun Kim,"Korea, Republic of",Asia,,39,174 cm,73 kg
7450,Sam Baker,United Kingdom,Europe,CrossFit FFH,30,179 cm,83 kg
7451,Aaron Jahos,United States,North America East,CrossFit Monadnock,27,,
7452,Bryan Betters,United States,North America East,CrossFit Pittsfield,33,74 in,190 lb
7453,Joakim Byberg,Norway,Europe,CrossFit Fjøra,22,184 cm,90 kg
7454,Christian Chasse,United States,North America East,CrossFit Wallingford,24,,
7455,Thomas Ribeiro,France,Europe,Talos CrossFit,26,169 cm,75 kg
7456,Aidan Paynter,Australia,Oceania,,20,176 cm,84 kg
7457,Dominik Wyss,Switzerland,Europe,Atomic Monkey CrossFit,26,,
7458,Mason Luxford,Australia,Oceania,CrossFit Bribie Island,34,175 cm,85 kg
7459,Scotty Sauerbrun,United States,North America East,CrossFit Oviedo,32,68 in,170 lb
7460,Ivan Yuferev,Asia,Age 23,,23,,
7461,Brian Espinoza,United States,North America East,CrossFit 617,36,66 in,160 lb
7462,Jongjun Back,"Korea, Republic of",Asia,CrossFit Baram,24,,
7463,Jeffrey Johnson,United States,North America East,CrossFit Bound,31,73 in,195 lb
7464,Benjamin Baird,Ireland,Europe,CrossFit Lisburn,31,166 cm,63 kg
7465,Jordan Patterson,United States,North America West,University Place CrossFit,31,74 in,205 lb
7466,Byoungsoo Seo,"Korea, Republic of",Asia,CrossFit Beomgye,35,168 cm,75 kg
7467,Adam Arthurs,United States,North America East,CrossFit Vauxhall,32,69 in,185 lb
7468,Jacob Krivanek,United States,North America East,Palm City CrossFit,26,,
7469,Simon Larsen,Denmark,Europe,,20,186 cm,102 kg
7470,Cedric Duarte,France,Europe,,28,178 cm,81 kg
7471,Ramazan Sinani,United States,North America East,Middletown CrossFit,30,71 in,178 lb
7472,Matt Sharp,United Kingdom,Europe,CrossFit Civitas,34,,
7473,Alex Zenovic,Serbia,Europe,CrossFit CSTL,46,182 cm,91 kg
7474,Luke Wilson,United States,North America East,CrossFit Change,22,71 in,185 lb
7475,Brandon Bailey,United States,North America East,CrossFit 404,32,67 in,165 lb
7476,Danny Williamson,United Kingdom,Europe,CrossFit Buxton,35,178 cm,94 kg
7477,James Walsh,Ireland,Europe,,35,70 in,82 kg
7478,Daniele Biondi,Italy,Europe,CrossFit Red Wall 100,32,,
7479,Ben Burger,South Africa,Africa,CrossFit Razmig,43,179 cm,95 kg
7480,Joseph Morreale,United States,North America East,CrossFit KE,27,71 in,185 lb
7481,Logan Ford,Australia,Oceania,CrossFit Metal Therapy,22,170 cm,76 kg
7482,James Mejia,United States,North America East,CrossFit Phillipsburg,26,71 in,190 lb
7483,Truls Lyngaas,Norway,Europe,Oya CrossFit,36,180 cm,80 kg
7484,Andrew Xifos,United States,North America East,Code Name CrossFit,36,69 in,195 lb
7485,Harrison Rosenbaum,United States,North America East,Sneads Ferry CrossFit,31,,
7486,Bronson Eggert,United States,North America West,CrossFit Pleasanton,30,67 in,190 lb
7487,Bastien Moreau,France,Europe,CrossFit Haekkun 2.1,23,184 cm,87 kg
7488,Alexander Soroka,Ukraine,Europe,CrossFit Cottbus,30,,
7489,Grant Regidor,United States,North America West,Lone Star CrossFit,28,67 in,177 lb
7490,Conal O'Kane,Ireland,Europe,CrossFit Black Five,27,180 cm,70 kg
7491,Paolo Sabattini,Italy,Europe,CrossFit 569,22,,
7492,Samuele Masullo,Italy,Europe,CrossFit Three Fingers,29,,
7493,Mason Mingus,United States,North America East,Vette City CrossFit,28,,
7494,Michael Smith,United States,North America West,Holeshot CrossFit,33,67 in,172 lb
7495,Alex Bigby,United Kingdom,Europe,CrossFit Orwell,32,69 in,81 kg
7496,Jason Cox,United States,North America West,Coyote CrossFit,44,72 in,210 lb
7497,Zan Kozar,Slovenia,Europe,,31,175 cm,81 kg
7498,Guan Ba,China,Asia,,34,178 cm,75 kg
7499,Jordan Provost,Canada,North America East,CrossFit Caribou,26,183 cm,186 lb
7500,Alejandro Patron,Mexico,North America West,,37,185 cm,175 lb
7501,Riley Ackermann,United States,North America West,CrossFit Anacortes,23,,
7502,Ari Melincoff-Levy,United States,North America East,CrossFit eXalted,27,72 in,176 lb
7503,Will Beck,United States,North America West,CrossFit on 18th,23,69 in,175 lb
7504,Zichu Mi,China,Asia,CrossFit Wusi,30,,
7505,Maliek Williams,United States,North America East,College Hill CrossFit,25,67 in,170 lb
7506,Khalid Alhamadi,Qatar,Asia,CrossFit Erada,34,175 cm,80 kg
7507,Santi Bigas Vila,Spain,Europe,Ozona CrossFit,21,163 cm,73 kg
7508,Clinton Carlisle,United States,North America West,,31,70 in,176 lb
7509,Valentin Abhervegueguen,France,Europe,CrossFit Ter Intensity,32,,
7510,Adam Robinson,United Kingdom,Europe,CrossFit FL,33,181 cm,76 kg
7511,Lucas Paulino dos Anjos,Brazil,South America,,28,,
7512,Javier Méndez,Spain,Europe,CrossFit Sant Cugat del Valles,29,,
7513,Daniel Smith,United Kingdom,Europe,CrossFit Bath,39,182 cm,82 kg
7514,Eli Hodges,United States,North America East,CrossFit Boro,32,,
7515,Florian Kaiser,Germany,Europe,CrossFit Neumarkt in der Oberpfalz,37,175 cm,84 kg
7516,Bradley Best,United Kingdom,Europe,CrossFit Wigan,33,185 cm,89 kg
7517,Jack Leaning,United Kingdom,Europe,CrossFit Leeds,33,,
7518,Andrew Sepulveda,United States,North America East,Mountain Top CrossFit,29,68 in,172 lb
7519,Jason Hicks,United States,North America East,CrossFit TFB,31,70 in,160 lb
7520,Maxwell Lee,United States,North America East,CrossFit Wall Street,30,,
7521,Jeferson Goncalves,United States,North America West,CrossFit OUR,34,70 in,180 lb
7522,Justin Storey,United States,North America West,CrossFit Endless Summer,33,72 in,210 lb
7523,Sliven Benamer,France,Europe,CrossFit Rebirth,33,,
