,Athlete,Affiliate,Country,Competition,Placement,Region,Division,Division_2,Back Squat,Chad1000x,Clean and Jerk,Deadlift,Fight Gone Bad,Filthy 50,Fran,Grace,Helen,L1 Benchmark,Max Pull-ups,Run 5k,Snatch,Sprint 400m
16853,Devan Hussey,CrossFit Riverside,,"2023 open
6518th
worldwide",6518th,worldwide,Men,Men,525 lb,,355 lb,565 lb,,,2:12,1:12,,,,,275 lb,
16867,Aurelia Barajas-Lopez,CrossFit Endzone,,"2023 open
1187th
worldwide",1187th,worldwide,Women,Women (35-39),235 lb,,165 lb,390 lb,,,6:19,,,,,17:49,125 lb,
16877,John Lengyel,CrossFit 513 United,,"2023 open
56554th
worldwide",56554th,worldwide,Men,Men,355 lb,,245 lb,460 lb,,,5:25,2:18,,,15,22:00,190 lb,
16878,Christopher Figueroa,Caution CrossFit,,,,United States,Men,,445 lb,,,505 lb,,,,,,,,,,
16887,Garrett Schaefer,CrossFit West Visalia,,,,United States,Men,,425 lb,,300 lb,525 lb,,,7:22,3:39,14:10,,,,225 lb,
16889,Andee Bookmyer,BD CrossFit,,"2023 open
2676th
worldwide",2676th,worldwide,Women,Women (40-44),255 lb,,180 lb,400 lb,,,,,11:40,,,,115 lb,
16898,Grzegorz Milcarz,,,,,Europe,Men,,105 kg,,82 kg,130 kg,,,,,,,,23:27,52 kg,
16901,Danielle Mcduffie,CrossFit Hype,,,,North America,Women,,217 lb,,165 lb,295 lb,,,,,,,,,145 lb,
16906,John Wallop,CrossFit Atlantic,,,,United States,Men,,365 lb,,255 lb,425 lb,,,2:19,,,,,,205 lb,
16916,Stefan Nordgren,CrossFit Svea,,,,Europe,Men (55-59),,140 kg,,70 kg,160 kg,,,,,,,12,,70 kg,
16952,Luciana Marchi,,,"2023 open
74th
worldwide",74th,worldwide,Women (65+),Women (65+),80 kg,,48 kg,111 kg,220,28:03,7:44,10:00,13:30,,7,30:00,30 kg,1:42
16965,Esther De La Rosa,CrossFit Recharge,,"2023 open
7246th
worldwide",7246th,worldwide,Women,Women (35-39),215 lb,,145 lb,185 lb,,,7:19,4:48,,,12,,95 lb,
17001,Vladimir Hernandez,White Tail CrossFit,,,,United States,Men,,315 lb,,,335 lb,,290:00,60:00,,61:00,,2,,,
17010,Michael Albanese,CrossFit Uprising,,"2023 open
22446th
worldwide",22446th,worldwide,Men,Men,405 lb,,275 lb,,261,,6:00,3:05,11:08,,,,240 lb,
17026,Yeimilyn Lorenzo,,,,,South East,Women,,190 lb,,105 lb,190 lb,,,,,,,,31:00,95 lb,1:49
17033,Stephanie Guzowski,CrossFit Merrick,,"2023 open
3101st
worldwide",3101st,worldwide,Women,Women (45-49),185 lb,,115 lb,280 lb,243,,,,,,,31:00,75 lb,
17044,Colin Campbell,CrossFit T-Town South,,"2023 quarterfinals
1355th
worldwide",1355th,worldwide,Men,Men (40-44),340 lb,,265 lb,425 lb,355,,3:18,3:48,9:00,,48,24:27,155 lb,0:59
17151,Beck Stiles,,,,,North America,Men,,255 lb,,155 lb,285 lb,,,7:26,4:20,9:18,,,20:19,145 lb,1:01
17213,Melanie LeBlanc,IRB CrossFit,,,,North America East,Women,,265 lb,,185 lb,285 lb,350,18:16,3:48,,,,30,,140 lb,1:29
17226,Marilyn Bonnell,Jump Ship CrossFit II,,,,North America,Women (65+),,45 lb,,55 lb,109 lb,,,,,,,,,45 lb,
17241,Rhett Foreman,CrossFit CULTIVAR,,,,Oceania,Men,,133 lb,,,140 kg,,,,,,,,,,
17251,Thomas Forbes,CrossFit Fontana,,,,North America West,Men,,275 lb,,220 lb,435 lb,,,,,,,30,,175 lb,
17277,Rodrigo Ponce de León,,,"2023 open
109352nd
worldwide",109352nd,worldwide,Men,Men,130 kg,,70 kg,140 kg,,,,,,,15,,50 kg,
17288,Keegan Kucko,CrossFit Katy,,,,North America,Men,,445 lb,,315 lb,535 lb,,,3:57,2:02,10:04,,35,,235 lb,0:58
17352,Leon Fitzgerald,Tasman Bay CrossFit,,,,Australia,Men,,160 kg,,125 kg,195 kg,,,3:10,,,,,,90 kg,1:29
17356,Aaron Norman,CrossFit ProVerb,,"2023 open
4614th
worldwide",4614th,worldwide,Men,Men (40-44),325 lb,,255 lb,425 lb,,28:40,3:47,2:35,11:53,,,,180 lb,
17360,Annie Anderson,CrossFit Farmland,,,,North Central,Women,,230 lb,,,255 lb,,,,,,,,,,
17383,Israel Blanca,,,"2023 open
2103rd
worldwide",2103rd,worldwide,Men,Men (45-49),185 lb,,195 lb,315 lb,,,7:49,,,,,27:00,150 lb,
17404,Ashley Smith,,,,,Canada,Women,,232 lb,,185 lb,315 lb,,,,,,,,,125 lb,
17405,Jason Valentino,CrossFit Phoenixville,,,,North America,Men,,340 lb,,205 lb,410 lb,,,,,,,,20:46,,
17412,Kortni Langlinais,CrossFit Fair Oaks Ranch,,"2023 open
19361st
worldwide",19361st,worldwide,Women,Women,,,,,,,,,,,,19:08,,
17414,David McNamara,CrossFit East Boca,,"2023 open
3729th
worldwide",3729th,worldwide,Men,Men (45-49),,,,315 lb,,,5:25,,,,,19:45,,
17436,Juliana Tellez,,,,,Southern California,Women,,,,,,,,,,,,,,,2:28
17445,Jeremy Young,PURE Fitness CrossFit,,"2023 quarterfinals
990th
worldwide",990th,worldwide,Men,Men (40-44),325 lb,,245 lb,425 lb,,29:57,5:07,,,,,,175 lb,
17469,Jonathan Fuster,,,,,Latin America,Men,,215 lb,,165 lb,225 lb,,,,,,,,,125 lb,
17490,Roman Spear,CrossFit Black Box,,,,South East,Men,,365 lb,,275 lb,455 lb,,,2:48,,,,,,225 lb,
17515,Yareth Vasquez,Mission CrossFit San Antonio,,,,United States,Women,,145 lb,,,205 lb,185,,8:40,,13:30,,,,80 lb,
17526,Timothy Miley,Heart and Soul CrossFit,,"2023 open
6892nd
worldwide",6892nd,worldwide,Men,Men (45-49),285 lb,,185 lb,265 lb,,,,,,,,,,
17547,Annicka Weber,,,,,North America East,Women,,193 lb,,145 lb,275 lb,,,,,,,,,105 lb,
17552,Megan Bresnahan,CrossFit North Haven,,,,North America,Women,,205 lb,,170 lb,270 lb,,24:27,6:32,2:36,,,,,130 lb,
17553,Jean-Sebastien Houle,Concept Ekilibre CrossFit,,,,North America East,Men,,,,,,,35:00,,,,,,,,
17570,Jaclyn Kowalewich,CrossFit Taranis,,,,North America,Women,,275 lb,,205 lb,340 lb,,,,,,,,28:35,130 lb,
17597,Jack Simpson,One Asterisk CrossFit,,"2023 open
91338th
worldwide",91338th,worldwide,Men,Men,335 lb,,,,,,,,,,,,,
