Athlete,Affiliate,Country,Region,Division,Rank,Games_Level,Qualifier,Back Squat (lbs),Clean and Jerk (lbs),Deadlift (lbs),Snatch (lbs),Fight Gone Bad,Max Pull-ups,Chad1000x (s),L1 Benchmark (s),Filthy 50 (s),Fran (s),Grace (s),Helen (s),Run 5k (s),Sprint 400m (s)
Gabriela Dantas,CrossFit Ribeirao Preto,,South America,Women,246,South America,quarterfinals,309,166,342,133,,20,,,,,,,,
Alexandra Lombardo,Speck CrossFit CCS,,South America,Women,247,South America,quarterfinals,,,285,,,,,,,,233,,,
Jackson Howie,Hilltop CrossFit,,Oceania,Men,247,Oceania,quarterfinals,330.693,253.5313,429.9009,209.4389,,,,,,,,,,
Maari Lehtoviita,Full CrossFit,,Europe,Women,247,Europe,quarterfinals,231.4851,198.4158,275.5775,154.3234,,25,,,,,,,,
Clayton Carey,,,Oceania,Men,248,Oceania,quarterfinals,396.8316,297.6237,462.9702,216.05276,,90,2068,,,151,88,545,1221,62
Sarah Boltz,The CrossFit Squad,,North America East,Women,248,North America East,quarterfinals,,,,,,,,,,152,,,,
Sofie Lindberg,Vagnhallen CrossFit,,Europe,Women,249,Europe,quarterfinals,253.5313,198.4158,341.7161,154.3234,,30,,,1181,,138,,,
Mitchell Benyon,Pennington CrossFit,,North America East,Men,249,North America East,quarterfinals,315,285,365,245,,54,,,,177,,,,
Luke Fulham,CrossFit Geo,,Oceania,Men,249,Oceania,quarterfinals,529.1088,390.21774,617.2936,308.6468,372,45,,,,170,104,,,55
Natalie Allport,CrossFit 1855,,North America East,Women,249,North America East,quarterfinals,315,235,375,180,,60,,,,138,,,,
Martin FeiferlÍk,CrossFit GTPS,,Europe,Men,249,Europe,quarterfinals,518.0857,418.8778,551.155,291.00984,,50,,,,117,61,,,
Cícero Cereja,,,South America,Men,249,South America,quarterfinals,390.21774,317.46528,485.0164,253.5313,,44,,,,153,138,,,81
Paulo Leoni Martins De Siqueira,CrossFit Lençois Paulista,,South America,Men,250,South America,quarterfinals,403,275,505,213,445,40,,,,166,144,,,72
Mitchell Eichmann,CrossFit Dux,,Oceania,Men,250,Oceania,quarterfinals,396.8316,308.6468,440.924,246.91744,,,,,,,,,,
Derek Lakowske,CrossFit ATR,,North America West,Men,250,North America West,quarterfinals,445,320,500,255,,,,,,,,,,
Aurelia Damann,Myleo CrossFit,,Europe,Women,251,Europe,quarterfinals,213.84814,163.14188,302.03294,130.07258,330,,,,,322,327,674,,
Yago Freire,Hammer CrossFit South,,North America East,Men,252,North America East,quarterfinals,385,315,455,245,418,53,,,,156,,506,1420,
Chans Porter,CrossFit Unknown,,North America West,Men,252,North America West,quarterfinals,415,,500,240,,,,,,,,,,
Charlotte Maris,,,Europe,Women,252,Europe,quarterfinals,297.6237,198.4158,341.7161,176.3696,,,,,,,,,,
Hugo Verdy,CrossFit Altais,,Europe,Men,252,Europe,quarterfinals,434.31014,308.6468,440.924,257.94054,,75,,,,,105,,,
Chelsea Espe,12 Labours CrossFit,,North America East,Women,252,North America East,quarterfinals,325,235,355,185,434,50,,,,154,98,,1275,59
Huy Nguyen,CrossFit Never Quit,,Oceania,Men,253,Oceania,quarterfinals,352.7392,260.14516,381.39926,176.3696,,,,,,213,,,,
Brittany Smolarski,CrossFit Fortius,,North America West,Women,254,North America West,quarterfinals,295,237,330,175,363,18,,,1742,255,126,775,,
Mitchell Davis,CrossFit Kirrawee,,Oceania,Men,255,Oceania,quarterfinals,,313.05604,440.924,255.73592,,,,,,,,,,
Julia Stanmore,CrossFit Three Flow,,Oceania,Women,255,Oceania,quarterfinals,213.84814,185.18808,286.6006,167.55112,,30,,,,,,,,
Milou Jaspers,CrossFit Gymert,,worldwide,Women,256,worldwide,open,,121.2541,,77.1617,,,,,,,,,,
Dakota Shackleton,Rhino CrossFit,,North America West,Men,258,North America West,quarterfinals,425,315,455,250,,,,,,134,,,,
Mario Moro,Altair CrossFit,,South America,Men,258,South America,quarterfinals,365,300,460,245,,50,,,,,,,,58
Cierra Crowley,CrossFit Wildwood,,North America West,Women,259,North America West,quarterfinals,295,220,335,175,,,,,,157,,,,
ChangGeun Kim,CrossFit Sound Wave,,Asia,Men,259,Asia,quarterfinals,385,290,425,215,,,,,,,,,,
Jack Baldwin,CrossFit Greater West,,Oceania,Men,259,Oceania,quarterfinals,440.924,319.6699,529.1088,264.5544,338,68,,,,138,123,,1192,58
Catherine Sanburn,Ft. Wright CrossFit,,North America East,Women,259,North America East,quarterfinals,280,200,295,150,,,,,,144,142,542,,
Juanjose Casanova,CrossFit Iron Burger,,Europe,Men,260,Europe,quarterfinals,396.8316,264.5544,440.924,220.462,,36,,,,,,,1176,
Nicolas Jaramillo,,,South America,Men,261,South America,quarterfinals,365,285,465,236,,75,,,,180,170,660,1500,46
Anna Karos,CrossFit High Gear,,North America East,Women,261,North America East,quarterfinals,315,225,405,185,335,,,,,181,97,561,,
Connor Smith,Ironwood CrossFit,,North America West,Men,261,North America West,quarterfinals,390,300,415,240,,51,,,,143,,,1436,
