Athlete,Affiliate,Country,Region,Division,Rank,Games_Level,Qualifier,Back Squat (lbs),Clean and Jerk (lbs),Deadlift (lbs),Snatch (lbs),Fight Gone Bad,Max Pull-ups,Chad1000x (s),L1 Benchmark (s),Filthy 50 (s),Fran (s),Grace (s),Helen (s),Run 5k (s),Sprint 400m (s)
Emelie Lundberg,CrossFit OBA,,worldwide,Women,51,worldwide,open,319.6699,231.4851,374.7854,198.4158,,,,,,114,,,,
Isaac Farias,,,worldwide,Men,51,worldwide,semifinals,405,305,500,245,,50,,,,,,,,
Ruben Torbay Yanez,,,South America,Men,51,South America,quarterfinals,465,325,465,250,,65,,,,120,134,483,1200,
Harry Debenham,Mesomorph CrossFit,,Oceania,Men,51,Oceania,quarterfinals,396.8316,308.6468,507.0626,253.5313,,,,,,145,95,,,
Stephanie Mireles,CrossFit Invictus Back Bay,,worldwide,Women,52,worldwide,semifinals,250,230,315,200,,,,,,143,,,,
Harley Pescosolido,Driven to Conquer CrossFit,,worldwide,Men,52,worldwide,semifinals,400,336,610,265,,,,,,252,,,,
Guillermo D. Torres,Compa CrossFit,,South America,Men,53,South America,quarterfinals,435,340,485,265,448,70,,,,120,94,,1221,
Carrie Stevenson,CrossFit i1uvit,,worldwide,Women,53,worldwide,semifinals,270,220,325,185,,51,,,,141,,,,
Kaela Stephano,CrossFit Hype,,North America East,Women,53,North America East,quarterfinals,270,215,303,175,,,,,,139,,,,
Ocean Oosthuizen,RTF CrossFit Krugersdorp,,Africa,Women,53,Africa,quarterfinals,260.14516,194.00656,308.6468,154.3234,,,,,,,109,,,
Lauren Lovick,Wolfe Den CrossFit,,Oceania,Women,53,Oceania,quarterfinals,242.5082,187.3927,330.693,158.73264,,30,,,,139,142,452,1333,
Aleksandr Kravchenko,CrossFit IceBox,,Asia,Men,53,Asia,quarterfinals,485.0164,319.6699,551.155,264.5544,,58,,,,153,86,,1390,64
Zane Parise,Branford CrossFit,,worldwide,Men,54,worldwide,semifinals,385,290,445,225,,,,,,,,,,63
Alessandro Zanet,K2 CrossFit,,worldwide,Men,55,worldwide,semifinals,425,325,500,275,,80,,,,133,90,,,
Connor Duddy,Solidarity CrossFit,,worldwide,Men,55,worldwide,semifinals,430,335,500,280,,,,,,,,,,
Lucas Nessier,,,South America,Men,55,South America,quarterfinals,440.924,352.7392,418.8778,279.98674,,60,,,,140,,,,
Daniel Camacho,CrossFit Zarautz,,worldwide,Men,55,worldwide,semifinals,396.8316,330.693,485.0164,286.6006,,60,,,,158,,,,57
Natalie Jennings,CrossFit Up,,worldwide,Women,55,worldwide,semifinals,,210,,170,,,,,,,,,,
Bailey Bentley,CrossFit Huntsville,,worldwide,Women,55,worldwide,semifinals,320,230,370,175,,61,,,,118,79,,,
Jessica Coughlan,CrossFit NorWest,,worldwide,Women,55,worldwide,open,,,,,,50,,,,128,143,495,,
Saxon Panchik,CrossFit East Nashville,,worldwide,Men,56,worldwide,semifinals,475,360,535,295,,62,,,,121,69,438,1152,52
Andrea Barbotti,CrossFit Senigallia,,worldwide,Men,56,worldwide,open,407.8547,313.05604,462.9702,249.12206,422,40,,,,140,145,,,
Justine Beath,CrossFit Lower Mountains,,Oceania,Women,56,Oceania,quarterfinals,315,235,347,190,,,,,,145,105,,,67
Retief Hoffmann,,,Africa,Men,56,Africa,quarterfinals,374.7854,297.6237,485.0164,253.5313,350,50,,,,174,110,615,1480,65
Najm Mamkegh,CrossFit Crescent,,Asia,Men,56,Asia,quarterfinals,505,375,550,270,,,,,,,,,,
Rachel Fricker,CrossFit Explode,,worldwide,Women,56,worldwide,semifinals,300,225,335,180,,,,,,,,,,
Isaac Campbell,Verdant CrossFit,,North America West,Men,57,North America West,quarterfinals,460,360,525,285,371,67,,,1310,139,90,460,,60
Luke Fiso,Thorndon CrossFit,,Oceania,Men,57,Oceania,quarterfinals,485.0164,357.14844,551.155,291.00984,,80,,,,118,80,423,1195,45
Giorgos Karavis,,,worldwide,Men,58,worldwide,semifinals,485.0164,354.94382,529.1088,279.98674,,50,,,,,,,,
Alexandre Caron,CrossFit Levis,,worldwide,Men,58,worldwide,semifinals,460,355,555,275,,50,,,1202,143,90,,1142,
Sammy Bahar,CrossFit Abode South,,Oceania,Women,58,Oceania,quarterfinals,319.6699,231.4851,352.7392,194.00656,440,40,,,,180,100,,,
Ralitza Koterlitzova,CrossFit NCR,,Europe,Women,59,Europe,quarterfinals,285,220,345,165,327,42,,,,158,,,1280,
Landy Eng,CrossFit Mobilus Clarke Quay,,Asia,Women,59,Asia,quarterfinals,,,,,,,,,,282,,,,
Amin Attallah,,,Asia,Men,59,Asia,quarterfinals,400,335,450,270,,60,,,,153,,,,
Madeline Helms,CrossFit Electric City,,worldwide,Women,59,worldwide,semifinals,295,210,325,155,,,,,1335,152,114,,1340,
Matthew Greene,CrossFit Wildwood,,worldwide,Men,59,worldwide,semifinals,420,340,515,275,,61,,,,136,105,450,1076,59
Kurtis Jackson,CrossFit Wollongong,,Oceania,Men,59,Oceania,quarterfinals,462.9702,319.6699,473.9933,242.5082,,,,,,167,,,,
Luiz Outor,Templo SA CrossFit,,South America,Men,61,South America,quarterfinals,265,275,445,185,,,,,,257,193,,,
Stewart Jones,CrossFit Raw Steel,,North America West,Men,62,North America West,quarterfinals,69,,420,,69,420,,,,,,,,69
Gabriel H Oliveira Shinzato,BRV CrossFit,,South America,Men,64,South America,quarterfinals,375,270,400,231,272,,,,,350,,,,
Alvaro Alarcon,,,Oceania,Men,64,Oceania,quarterfinals,379.19464,304.23756,551.155,231.4851,,60,,,,128,90,677,,80
Samantha Pereira da Silva,CrossFit Barrie,,South America,Women,64,South America,quarterfinals,255,215,315,150,342,30,,,1066,174,107,683,,
Kun Seok Kim,CrossFit Get Knowledge 2,,Asia,Men,65,Asia,quarterfinals,395,295,475,220,,70,,,1160,127,118,,,
Stephen Norman,CrossFit Geo,,Oceania,Men,65,Oceania,quarterfinals,407.8547,326.28376,469.58406,253.5313,,41,,,,,325,481,,
Niklas Hecht,CrossFit OBA,,worldwide,Men,66,worldwide,open,475,355,525,285,,68,,,,121,68,,,
Joshua Gardiner,CrossFit Ruark,,Oceania,Men,66,Oceania,quarterfinals,485.0164,352.7392,507.0626,264.5544,,80,,,,114,,,,
Italla Silva,,,South America,Women,66,South America,quarterfinals,,,,,,,,,,,,,,75
younggeun choi,CrossFit BigFoot Two,,Asia,Men,67,Asia,quarterfinals,425,335,485,245,,,,,,,,,1500,
Sam Stewart,CrossFit Walleye,,worldwide,Men,68,worldwide,open,451.9471,352.7392,551.155,286.6006,,50,,,,130,86,486,,
Bailey DiMenna,CrossFit Big House,,North America East,Men,68,North America East,quarterfinals,463,368,510,315,,,,,,152,118,,,
Austin Evans,Coast Mountain CrossFit,,North America West,Men,68,North America West,quarterfinals,405,335,475,265,,64,,,,126,,454,,
Joel Molinia,CrossFit Kirrawee,,Oceania,Men,68,Oceania,quarterfinals,440.924,324.07914,440.924,264.5544,,,,,,,,,,
Amy Alessi,2100 Tribe CrossFit,,Oceania,Women,69,Oceania,quarterfinals,,200,,180,,40,,,,,,,,
Alexander Herewini,CrossFit EXF,,Oceania,Men,69,Oceania,quarterfinals,407.8547,286.6006,443.12862,231.4851,,50,,,,159,132,,,
Tafadzwa Mushandu,CrossFit Palace,,Africa,Men,69,Africa,quarterfinals,485,335,625,265,,,,,,140,73,,,
Megan O'Donnell,CrossFit Bear,,North America East,Women,69,North America East,quarterfinals,320,230,325,175,,,,,,140,109,506,,
Kimberlee DeKrey,CrossFit Westchase,,North America East,Women,69,North America East,quarterfinals,255,190,300,160,,,,,,,,,,
Moshe Tabero,CrossFit White City,,Asia,Men,69,Asia,quarterfinals,352.7392,220.462,418.8778,176.3696,,,,,,327,177,634,1063,67
Jennifer Brasseur,CrossFit Wavre,,Europe,Women,70,Europe,quarterfinals,,209.4389,330.693,187.3927,,,,,,,,,,
Kevin Jurs,Tallinn CrossFit,,Europe,Men,70,Europe,quarterfinals,418.8778,330.693,462.9702,275.5775,477,,,,1212,145,,,,
Taylor Beck,Koda CrossFit Native,,North America West,Women,70,North America West,quarterfinals,245,205,315,165,408,,,,1547,326,108,,,
Miri Fraenkel,CrossFit Rishon City,,Asia,Women,70,Asia,quarterfinals,249.12206,202.82504,308.6468,154.3234,,,,,,,,,,
Antonio Barrias,CrossFit XVI,,Asia,Men,70,Asia,quarterfinals,551.155,363.7623,584.2243,286.6006,,66,,,,126,,,,
Benjamin Wise,CrossFit Lumber Capital,,North America East,Men,70,North America East,quarterfinals,425,322,525,255,,55,,,,142,97,443,1060,53
Nick Petersen,Kamo Athletics CrossFit,,North America West,Men,71,North America West,quarterfinals,375,300,500,275,,63,,,,163,162,,,
Zach Watts,CrossFit Illuminate,,North America East,Men,71,North America East,quarterfinals,470,382,525,315,,75,,,,,,,,
Cameron Kuszla,CrossFit Moorabbin,,Oceania,Men,72,Oceania,quarterfinals,405.65008,293.21446,573.2012,246.91744,461,,,,1248,133,118,469,1050,58
Tanner Stahl,CrossFit 801,,North America West,Men,72,North America West,quarterfinals,440,315,545,255,,,,,,,,,,
Ynara Carvalho,CrossFit Pinda,,South America,Women,72,South America,quarterfinals,,,198.4158,,,20,,,,,,,1875,
Tammy Gyorkos,CrossFit Westchase,,North America East,Women,72,North America East,quarterfinals,210,155,265,110,,,,,,,,,,
Josh Workman,CrossFit Norwalk,,North America East,Men,73,North America East,quarterfinals,465,367,505,285,420,69,,,,118,,,1067,56
Andrea Ferrero,CrossFit Verbania,,Europe,Men,73,Europe,quarterfinals,407.8547,352.7392,473.9933,286.6006,,56,,,,162,89,,1470,
Samuel Dell,CrossFit SW18,,Oceania,Men,73,Oceania,quarterfinals,418.8778,330.693,507.0626,264.5544,,,,,,150,100,510,,
Artyom Matsak,CrossFit Berloga,,Asia,Men,73,Asia,quarterfinals,451.9471,341.7161,551.155,275.5775,,52,,,,130,125,,,62
Nicole Mghenyi,CrossFit Progression,,North America West,Women,73,North America West,quarterfinals,305,240,310,215,,,,,,,,,,
Nataly Soboleva,CrossFit Rishon City,,Asia,Women,73,Asia,quarterfinals,238.09896,187.3927,297.6237,143.3003,,12,,,,,,,1200,82
Christopher Shimley,Top Fuel CrossFit Valparaiso,,North America East,Men,73,North America East,quarterfinals,505,365,505,285,468,61,,,1080,140,116,449,1277,
Radoslaw Wreczycki,,,Europe,Men,75,Europe,quarterfinals,451.9471,381.39926,473.9933,275.5775,456,54,,,,124,,,1324,
Casey McCallister,Koda CrossFit,,North America West,Men,76,North America West,quarterfinals,456,325,505,255,,90,,,,129,84,,1198,53
Sarin Suvanasai,CrossFit NBHD,,North America East,Men,76,North America East,quarterfinals,525,375,600,305,,,,,,,,,,
Brodie Scott,Freezing Hot CrossFit,,Oceania,Men,76,Oceania,quarterfinals,352.7392,295.41908,507.0626,242.5082,,,,,,150,118,485,,
Rachel Lynass,CrossFit Viable,,North America West,Women,76,North America West,quarterfinals,255,205,340,166,,,,,,,,,,
Jaafar Dane,CrossFit Bumblebees,,Africa,Men,76,Africa,quarterfinals,240.30358,198.4158,264.5544,154.3234,,2,,,,,120,,,
Hans Koellnberger,One Life CrossFit,,North America West,Men,77,North America West,quarterfinals,425,320,455,255,,,,,,264,,,,
Kenzie Nolte,CrossFit Steel Place,,North America East,Women,77,North America East,quarterfinals,335,250,390,175,,,,,,,111,,,
Mitch Clarke,CrossFit Mona Vale,,Oceania,Men,77,Oceania,quarterfinals,,,,,,,,191,,,,,,
Cornel Pieterse,CrossFit Ira,,Africa,Men,77,Africa,quarterfinals,462.9702,341.7161,529.1088,242.5082,,20,,,,250,,,,
Jamie Headon,CrossFit C2F,,Europe,Men,77,Europe,quarterfinals,451.9471,346.12534,529.1088,279.98674,,,,,,,,,,
Reilly Good,CrossFit 1124,,North America East,Men,77,North America East,quarterfinals,545,375,560,295,,,,,,122,,,,
Sebastian Jalas,Bark River CrossFit,,North America East,Men,78,North America East,quarterfinals,435,351,515,290,,63,,,,168,,681,,50
Corey Allen,CrossFit DRC,,Oceania,Men,78,Oceania,quarterfinals,423.28704,319.6699,551.155,231.4851,,70,,,,133,90,,1116,
Mark Timlin,CrossFit Yas,,Africa,Men,78,Africa,quarterfinals,374.7854,315,507.0626,255,,52,,,,174,115,,,59
Alice Mille,CrossFit Walleye,,Europe,Women,79,Europe,quarterfinals,291.00984,229.28048,352.7392,185.18808,,,,,,,93,,1260,
Jake Law,Steel Coast CrossFit,,Oceania,Men,79,Oceania,quarterfinals,440.924,319.6699,440.924,231.4851,364,49,,,930,149,82,464,1156,
Desiree Genter,CrossFit East Nashville,,North America East,Women,79,North America East,quarterfinals,300,235,315,205,,,,,,,,,,
Christopher Ghansah,,,Africa,Men,80,Africa,quarterfinals,440.924,297.6237,485.0164,253.5313,,,,,,,,,,
Timothy Davis,Blueprint CrossFit,,Oceania,Men,80,Oceania,quarterfinals,396.8316,330.693,507.0626,255.73592,381,,,,,132,81,477,1200,62
Tayler Patterson,Koda CrossFit Iron View,,North America West,Women,80,North America West,quarterfinals,315,225,325,188,,,,,,189,,,,
Lea Schmidt,,,Europe,Women,81,Europe,quarterfinals,255,202,310,165,,30,,,,180,,833,1246,
Amanda Macahan,CrossFit 28,,North America West,Women,82,North America West,quarterfinals,,215,,175,,,,,,129,,346,,
Jeremy Reijnders,CrossFit Vondelgym 3,,Europe,Men,82,Europe,quarterfinals,440.924,308.6468,529.1088,242.5082,,,,,,169,,435,1172,
Michael McDonald,CrossFit Crash,,North America East,Men,82,North America East,quarterfinals,475,335,465,275,,50,,,,138,86,450,1195,
Mirakim Couvrette,CrossFit The Flying V,,North America East,Women,83,North America East,quarterfinals,322,235,375,185,,85,,,,122,,,,
Alex DeGarmo,,,North America West,Women,83,North America West,quarterfinals,270,185,300,145,,35,,,,202,203,506,,
Youngseo Choi,,,Asia,Men,83,Asia,quarterfinals,507.0626,352.7392,551.155,264.5544,,65,,,,150,120,450,1020,
Kelcy Ware,CrossFit Invictus Everest Park,,North America West,Women,84,North America West,quarterfinals,310,225,325,160,320,35,,,,143,84,,,
Janelle Stites,CrossFit On Track,,North America West,Women,85,North America West,quarterfinals,310,253,320,207,,58,,,,128,,,,
Hendrik Senf,CrossFit Aorta,,Europe,Men,85,Europe,quarterfinals,473.9933,341.7161,507.0626,271.16826,477,,,,,118,,,1226,
Matias Friz,HomeGrown CrossFit,,North America West,Men,85,North America West,quarterfinals,410,300,465,235,,50,,,,157,,,1025,
Trish Zizumbo,Salty Hive CrossFit,,North America West,Women,85,North America West,quarterfinals,303,223,343,163,,,,,,181,112,481,1593,
Nikki Matarazzo,CrossFit Newmarket Central,,North America East,Women,85,North America East,quarterfinals,300,210,330,165,330,35,,,,151,105,,1192,
Austin Spencer,CrossFit MF,,North America East,Men,85,North America East,quarterfinals,440,350,505,285,,,,,,133,,,,
Jose Faradji,Rakun CrossFit,,North America West,Men,86,North America West,quarterfinals,400,325,465,260,,65,,,,138,126,490,1300,51
Austin Morgan,Iron Tide CrossFit,,North America East,Men,86,North America East,quarterfinals,450,355,525,275,,76,,,,124,,,1297,
Simona Quintana,,,South America,Women,87,South America,quarterfinals,,175,,,,,,,,182,,,1165,
Kristóf Horváth,CrossFit 72D,,Europe,Men,87,Europe,quarterfinals,507.0626,341.7161,,286.6006,,,,,,,,,,
Janette Hynes,Hoosier CrossFit,,North America East,Women,87,North America East,quarterfinals,265,215,365,175,,32,,,,,,,1127,
Ryan Jevning,Undefeated CrossFit,,North America West,Men,88,North America West,quarterfinals,440,350,455,286,417,54,,,1365,140,,,1357,
Nick Tunzi,Fort to Fort CrossFit,,worldwide,Men,88,worldwide,open,520,350,540,280,,,,,,,80,,,65
Carole Castellani,CrossFit Genas,,Europe,Women,88,Europe,quarterfinals,275.5775,220.462,359.35306,171.96036,,,,,,138,,,,
Zak Anderson,Omega CrossFit,,North America West,Men,90,North America West,quarterfinals,445,320,495,245,439,80,,,,119,96,420,1198,
Hudson Fricke,Southern Moon CrossFit,,North America East,Men,90,North America East,quarterfinals,375,305,,290,,,,,,136,76,,,
Do-eon Kwak,CrossFit Honey Badger,,Asia,Men,91,Asia,quarterfinals,375,305,425,245,,,,,,138,,,,
William Farquharson,Spindle City CrossFit,,North America East,Men,91,North America East,quarterfinals,415,320,420,259,,,,,,,,,,
Trent Volentine,,,North America West,Men,91,North America West,quarterfinals,425,325,500,245,,75,,,,126,87,,1185,51
Aimee Reid,CrossFit Boss,,Oceania,Women,92,Oceania,quarterfinals,231.4851,182.98346,271.16826,154.3234,359,30,,,,188,116,,,
Stefano Migliorini,CrossFit Officine,,Europe,Men,92,Europe,quarterfinals,507.0626,330.693,551.155,264.5544,,,,,,126,,,1200,60
Gary Jones,Flower City CrossFit,,North America East,Men,92,North America East,quarterfinals,500,393,520,295,,,,,,137,70,460,,49
Erasmus van Niekerk,CrossFit Ground Zero,,Africa,Men,93,Africa,quarterfinals,440.924,363.7623,540.1319,275.5775,382,40,,,,146,81,,1655,
Simon Castillo,CrossFit Black Edition,,South America,Men,93,South America,quarterfinals,390,305,455,255,,,,,,216,102,,1260,58
Courtney Magnuson,EHP CrossFit,,North America West,Women,93,North America West,quarterfinals,280,240,340,190,,,,,,,,,1550,
Caleb Freeman,CrossFit Asheboro,,North America East,Men,94,North America East,quarterfinals,475,320,615,250,340,46,,,1282,128,115,,1116,
Joshua Pollema,CrossFit Fortem,,North America West,Men,94,North America West,quarterfinals,400,315,550,260,459,,,,,123,98,441,,54
Chandler Shuford,CrossFit 1124,,North America East,Women,94,North America East,quarterfinals,300,235,,205,329,46,,,,170,,636,,79
Sabrina Gordon,12 Labours CrossFit,,North America East,Women,95,North America East,quarterfinals,340,255,350,190,,,,,,,,,,
Tanner Sturm,CrossFit Invictus Everest Park,,North America West,Men,95,North America West,quarterfinals,491.63026,365.96692,526.90418,291.00984,,,,,,136,110,467,,
Hussain Al Bahbahani,,,Asia,Men,95,Asia,quarterfinals,462.9702,308.6468,529.1088,264.5544,,45,,,,195,,,1155,75
Luke Spencer,Reebok CrossFit Frankston,,Oceania,Men,96,Oceania,quarterfinals,363.7623,268.96364,407.8547,187.3927,,19,,,,,125,,,
Michael Palomba,CrossFit Exceed,,North America East,Men,96,North America East,quarterfinals,500,365,565,300,,,,,,117,,,,
Brandon True,CrossFit 717,,North America East,Men,97,North America East,quarterfinals,485,,,,,,,,,,,,,
Rui Miguel Castro Silva,Serpa Pinto CrossFit,,Africa,Men,97,Africa,quarterfinals,352.7392,293.21446,443.12862,224.87124,,50,,,,178,,,1310,
Lisa Warren,CrossFit Folsom Lake,,North America West,Women,97,North America West,quarterfinals,325,255,325,205,,,,,,160,,,,
Naon Mighall,CrossFit Artax,,Oceania,Men,98,Oceania,quarterfinals,429.9009,297.6237,465.17482,242.5082,,8,,,,134,140,510,1460,
Luis Perales,,,South America,Men,98,South America,quarterfinals,405,295,445,225,,,,,,131,,,,
Catrin De Jonge,CrossFit Wollongong,,Oceania,Women,98,Oceania,quarterfinals,275.5775,,319.6699,,,,,,,,,,1852,
Jeremy Vigneault,,,North America East,Men,98,North America East,quarterfinals,450,380,595,285,,68,,,,,,,1160,60
Tucker McLemore,Rayzor Ranch CrossFit,,North America West,Men,99,North America West,quarterfinals,420,330,485,250,508,,,,1056,132,117,,1112,61
Andrew Winsor,CrossFit Cobourg,,North America East,Men,99,North America East,quarterfinals,445,310,515,229,,70,,,,122,,,,
Estela Mayumi Shimabukuro,CrossFit Great Bear,,South America,Women,99,South America,quarterfinals,317.46528,220.462,332.89762,169.75574,,,,,,220,131,,1367,
Anita Set,CrossFit Mobilus Chinatown,,Asia,Women,99,Asia,quarterfinals,231.4851,176.3696,297.6237,143.3003,,,,,,,,,,
Marian Johnsen,CrossFit Oslo,,Europe,Women,99,Europe,quarterfinals,277.78212,220.462,330.693,176.3696,278,50,,,,238,224,,,
Asier Sanchez,CrossFit Bikain,,Europe,Men,99,Europe,quarterfinals,374.7854,253.5313,485.0164,187.3927,,50,,,,230,,500,,64
Keanu Redongo,,,North America West,Men,100,North America West,quarterfinals,410,330,515,270,405,65,,,,117,89,460,1272,
Brice Hamilcaro,CrossFit Gekko,,Africa,Men,100,Africa,quarterfinals,405.65008,315.26066,551.155,253.5313,,70,,,,,,,1290,
Yvan Rojas,Kingbull CrossFit,,South America,Men,100,South America,quarterfinals,375,265,405,215,,,,,,165,,,,
Tadhg Lawless,CrossFit Dublin,,Europe,Men,100,Europe,quarterfinals,440.924,374.7854,551.155,288.80522,,80,,,,,99,491,1196,
Eric Meneses,La Huella CrossFit,,South America,Men,101,South America,quarterfinals,368.17154,295.41908,456.35634,238.09896,,,,,,,,,,
Sayuri Sato,CrossFit Barueri,,South America,Women,101,South America,quarterfinals,297.6237,224.87124,341.7161,178.57422,,28,,,,193,165,,,98
Josh Hardin,CrossFit CLT,,North America East,Men,102,North America East,quarterfinals,470,345,545,285,,,,,,258,126,,,
Will Trounson,CrossFit Reclaim,,Oceania,Men,102,Oceania,quarterfinals,407.8547,319.6699,500,253.5313,,50,,,,,136,540,,
Trygve Nilsen,CrossFit Oslo,,Europe,Men,104,Europe,quarterfinals,396.8316,319.6699,584.2243,260.14516,,,,,,,,,,
Abigail Burnard,CrossFit Iron Shamrock,,North America East,Women,104,North America East,quarterfinals,255,210,355,175,,18,,,,160,,,,58
Leslie Reverol Roo,CrossFit Soul Miami,,South America,Women,104,South America,quarterfinals,260,195,275,152,,,,,,289,190,1494,,
Astrid Tind Petersen,CrossFit Butcher's Lab,,worldwide,Women,105,worldwide,open,297.6237,235.89434,330.693,191.80194,,,,,,,,,,
Thomas Dominick,,,North America West,Men,105,North America West,quarterfinals,435,315,475,245,375,50,,,,136,113,477,1259,64
Jaime Goodwin,Wolfe Den CrossFit,,Oceania,Women,105,Oceania,quarterfinals,286.6006,216.05276,337.30686,176.3696,,65,,,,119,74,,1194,
Mahyar Ghorbanzadeh,CrossFit West Vancouver,,Asia,Men,106,Asia,quarterfinals,365,260,440,195,,41,,,,250,160,,2700,
Cameron Randall,CrossFit Fortem,,North America West,Men,106,North America West,quarterfinals,390,306,500,255,,50,,,,156,,,,72
Ashleigh Storey,CrossFit Creative,,Oceania,Women,107,Oceania,quarterfinals,249.12206,182.98346,282.19136,154.3234,,,,,,,,,,
Emilio Hernandez,Gold Standard Athletics CrossFit,,North America West,Men,107,North America West,quarterfinals,,335,485,255,,,,,,129,,,,
Mel Halstead,CrossFit Karuna,,Oceania,Women,108,Oceania,quarterfinals,,,,,,,,,,,,,1410,
Nathalia Mencari,Vittoria CrossFit,,South America,Women,108,South America,quarterfinals,299.82832,235.89434,319.6699,198.4158,,,,,,,,,,
